Type,Institute Name,Location,Phone,Email,Principal/Head,Address,Notes
School,St. Xavier's Collegiate School,Kolkata,033-22551171,principal@sxcs.edu.in,Fr. John K. P.,30 Mother Teresa Sarani, Park Street,Kolkata-700016
School,Birla High School,Kolkata,033-22876420,principal@birlahighschool.com,Mr. Ashok Kr. Singh,1 Moira Street,Kolkata-700017
School,Loreto House Kolkata,Kolkata,8584858917,contact@loretohousekolkata.com,Mrs. Purbita Bagchi,7 Loudon Street,Kolkata-700017
School,St. Joan's School Salt Lake,Kolkata,8961005576,info@stjoans.edu.in,——,GD-346A Sector III Salt Lake,Kolkata-700106
School,Mahadevi Birla Shishu Vihar,Kolkata,033-22832375,——,——,219 Rashbehari Avenue,Kolkata-700019
School,St. Lawrence High School,Kolkata,033-24751959,stlawrencehighschool@yahoo.co.in,——,27 Ballygunge Circular Road,Kolkata-700019
School,GD Goenka Public School,Kolkata,9147388892,——,——,117 Shyamnagar Road,Kolkata-700055
School,St. Joan's School Newtown,Kolkata,——,——,——,Newtown Campus,Kolkata
School,South Point School,Kolkata,033-24405115,sphs@southpoint.edu.in,Jaidev Ghosh / Rupa Sanyal Bhattacharjee,82/7A Ballygunge Place,Kolkata-700019
School,Apeejay School Park Street,Kolkata,033-22291779,——,——,115 Park Street,Kolkata-700016
School,Delhi Public School Ruby Park,Kolkata,033-71300258,——,——,254 Shanti Pally RB Connector,Kolkata-700107
School,Sushila Birla Girls' School,Kolkata,033-22879006,——,Mrs. Koeli Dey,7 Moira Street,Kolkata-700017
School,La Martiniere for Boys,Kolkata,033-40406601,secretariat_lmb@lamartiniere.co,Sydney Menezes,11 Dr. UN Brahmachari Street,Kolkata-700017
School,The Heritage School,Kolkata,033-24430448,hr@theheritageschool.org,——,994 Madurdaha Chowbaga Road,Kolkata-700107
School,Abhinav Bharati High School,Kolkata,033-22825215,——,——,11 Pretoria Street,Kolkata-700071
School,BDM International,Kolkata,033-24358402,——,——,Pratapgarh Narendrapur,Kolkata-700103
School,DPS Newtown Kolkata,Kolkata,033-23242202,——,——,Plot DC1 Action Area I New Town,Kolkata-700156
School,Shri Shikshayatan School,Kolkata,033-22826810,——,——,11 Lord Sinha Road,Kolkata-700071
School, Army Public School Ballygunge,Kolkata,033-24866629,——,——,Ballygunge Maidan Camp,Kolkata-700019
School,Hariyana Vidya Mandir Salt Lake,Kolkata,033-23342404,——,——,BA-193 Sector 1 Salt Lake,Kolkata-700064
School,Apeejay School Salt Lake,Kolkata,033-23215151,——,Arpita Chakraborty,BG Block Sector II Salt Lake,Kolkata-700091
School,Bhavan's Gangabux Kanoria Vidya Mandir,Kolkata,033-23351249,——,——,FA Block Sector III Salt Lake,Kolkata-700097
School,Indus Valley World School,Kolkata,033-71205250,——,——,488 Ajoy Nagar EM Bypass,Kolkata-700094
School,Ruby Park Public School,Kolkata,033-71300271,——,——,P-17 Transport Depot Road Alipore,Kolkata-700088
