Type,Institute Name,Location,Contact Number(s),Address,Notes
New School,Credmont International School,Howrah/Kolkata,——,Kolkata West International City Howrah,"Opened 2025, new brand"
New School,Maharishi Arvind International School,Kolkata,——,Kolkata,"New campus from Jaipur/Kota"
New School,RP Goenka International School,Kolkata,——,Kolkata,"Founded 2022, new school"
New School,Bridge International School,Kolkata,——,Hazra Road Kolkata,"Newer ICSE school"
New School,Boston Global School,Hooghly/Kolkata,"8910086683, 8100566227","32/2 TN Mukherjee Road Makhla Uttarpara","New upcoming school"
New School,SPK Jain Futuristic Academy,Kolkata,9163522225,"Plot IIA/14 Action Area II New Town","New school building to K-12"
New School,The Cambridge School Kolkata,Kolkata,——,Kolkata,IGCSE school
New School,Chatterjee Noble School,Kolkata/Dumdum,"9836831662, 7908258686","Khardapara Birnagar Nadia","CBSE school, actively admitting"
New Preschool,Little Lantern Kolkata,Kolkata,——,Kolkata,"Founded 2025, brand new"
New College,St. Stephen's Pharmaceutical College,Kolkata(Dum Dum),——,St. Stephen's School Campus Dum Dum,"New pharmacy college est 2025"
New College,JIS College of Veterinary & Animal Sciences,Hooghly/Kolkata,——,Mogra Hooghly,"Bengal's 1st private vet college 2025"
New College,Bhawanipur Global Campus (BGC),Kolkata,——,Former NSHM campus Kolkata,"New brand launched March 2026"
New University,Ramakrishna Paramhansa University,Kolkata,——,"3 BT Road Agarpara Kolkata-700058","New private university est 2024"
New University,TCG CREST (Deemed University),Kolkata,——,Salt Lake Kolkata,"New deemed university 2025"
New Medical College,JIS School of Medical Science & Research,Howrah/Kolkata,——,Santragachi Howrah,"Private MBBS college est 2023"
Drone Academy,JIS Drone Academy (RPTO),Kolkata,——,SurTech Campus Dum Dum,"New DGCA drone academy April 2026"
New College,Guru Nanak Institute of Technology (GNIT),Kolkata,"9432012681, 9073322523",Panihati Sodepur Kolkata-700114,JIS Group engineering
New College,Narula Institute of Technology,Kolkata,"8100192400, 6291977702, 8902496651",Kolkata,JIS Group engineering
New College,Gargi Memorial Institute of Technology (GMIT),Kolkata,"8336942309, 8336942264, 8336942300",Baruipur Kolkata,"Marketing email: marketing_gmit@jisgroup.org"
New College,Greater Kolkata College of Engg & Management,Kolkata,"6291977709, 9073683915",Baruipur South 24 Parganas-743387,Self-financing JIS Group
New College,Heritage Academy (Kalyan Bharti Trust),Kolkata,——,994 Madurdaha Anandapur Kolkata-700107,"NEW - approved 2024 for BBA/BCA"
New College,Dinabandhu Andrews Institute of Technology & Management,Kolkata,——,Baishnabghata Patuli Kolkata,Self-financed AICTE
New College,Sister Nivedita University (SNU),Kolkata,——,New Town Kolkata,"Private university est 2017"
New College,SIBS - School of International Business & Sciences,Durgapur,9144144484,"D1 JL Nehru Avenue Amarabati Durgapur-713214","Established 2024! Brand new"
New College,Aryabhatta Institute of Pharmacy,Durgapur,——,Panagarh near Durgapur,"Est 2023, 10 acre campus"
New College,Durgapur Institute of Legal Studies (DILS),Durgapur,"7699999906, 9474700287",Durgapur,Private law college
New College,Dr. BC Roy Academy of Professional Courses,Durgapur,"0343-2500025, 9733886389, 7478823806",Jemua Road Fuljhore Durgapur-713206,"Private, AICTE approved"
Nursing College,Royal Institute of Nursing & Medical Sciences (RINMS),Durgapur,——,NH-2 Banskopa Kanksa Durgapur,"New private nursing, INC/WBNC approved"
Nursing College,Gouri Devi Nursing Academy (GDNA),Durgapur,——,DIATM Campus Rajbandh Durgapur,Rahul Foundation
Nursing College,Manisha Nursing Institute,Durgapur,7810974211,Rajbandh Durgapur-713212,GNM Nursing actively admitting
Nursing College,Durgapur Institute of Nursing Sciences,Durgapur,7699001644,Durgapur,B.Sc Nursing
Medical College,Shri Ramkrishna Institute of Medical Sciences,Durgapur,"7303848310, 0343-2700085, 7676750000","Malandighi Kanksha Durgapur-713212","Private medical est 2019, 150 MBBS seats"
Medical College,Gouri Devi Institute of Medical Sciences & Hospital,Durgapur,"7303848310, 8945524319","DIATM Campus NH2 Rajbandh Durgapur-713212","Private medical est 2016, 150 MBBS seats"
Paramedical College,Paramedical College Durgapur,Durgapur,"9333709950, 0343-2535487, 8373062199","Hellen Keller Sarani Sector 2A Bidhannagar Durgapur-713212","Est 2002, private"
Paramedical College,DPMI Paramedical Durgapur,Durgapur,03340838081,Urvashi Complex City Center Durgapur-713216,Pan-India paramedical chain
Paramedical College,Durgapur Institute of Paramedical Science (DIPS),Durgapur,——,Durgapur,"Est 2011, private"
ITI/Vocational,Gouri Devi Private ITI (GDPITI),Durgapur,"6296200090, 7797666226, 8348691545",GT Road Rajbandh Durgapur-713212,"Private ITI, NCVT approved"
ITI/Vocational,Jyotirmoy Private ITI,Kolkata,"8420105459, 03218-260065",Kalikapur Sonarpur Kolkata-743330,Private ITI
ITI/Vocational,Durgapur ITI (DPC),Durgapur,9434033636,City Centre Phase II Durgapur-713208,Trust-run ITI
ITI/Vocational,Govt ITI Durgapur Muchipara,Durgapur,0343-2557371,Muchipara Bidhannagar Durgapur,Govt ITI
Coaching,Jain Coaching Kolkata,Kolkata,9748817473,156C Rash Behari Avenue Kolkata-700029,CA coaching
Coaching,Sandeep Goswami Tax Classes,Kolkata,"9674888190, 9073403629","Girish Park/Kalighat/Tollygunge Kolkata",CA/CS/CMA coaching
Coaching,AB's Coaching Center & Professional Institute,Kolkata,"9051071233, 9163371998",Sodepur Kolkata-700113,"Owner operated, small center"
Coaching,JHA Coaching Classes (IIPS),Kolkata,"9331434931, 9903318483",Kankurgachi Kolkata-54,CA coaching
Coaching,Apti Plus Academy for Civil Services,Kolkata,——,88 Jawaharlal Nehru Road Bhowanipore Kolkata-700020,UPSC/WBCS coaching
New School,Narayana School Durgapur,Durgapur,1800-102-3344,Sector 2D Bidhan Nagar Durgapur-713212,Chain school
New School,Techno India Group Public School Durgapur,Durgapur,0343-2536655,"A-201 Rangamati Path Sector 2C Bidhannagar Durgapur-713212",Private CBSE
New School,Purv International School Durgapur,Durgapur,9046110655,Nachan Road Kamalpur Durgapur-713204,Newer private school
