Type,Clinic Name,Location,Contact Number(s),Address,Notes
Multi-speciality,GTI Polyclinic & Healthcare,Kolkata (Phoolbagan/Beliaghata),"8272993202, 9230113485","25 Haramohon Ghosh Lane, Beliaghata Phoolbagan, Kolkata 700085","Polyclinic, actively seeing patients"
Multi-speciality,Sai Multispecialty Clinic,Kolkata (Rajarhat),"9831131603, 9830382886","T-77, Rajarhat Road, Near Teghoria Loknath Mandir, Kolkata 700157","Gastro, Cardio, Urology, Endo, Gynae"
Multi-speciality,SP Mediclinic,Kolkata (Rajarhat/Kali Park),9836932000,"Block A, 1st Floor, Ambey Florence, Kali Park, Salua, Rajarhat, Kolkata","Diagnostics & polyclinic"
Multi-speciality,ASR Doctor Clinic,Kolkata (Newtown),——,"2.5 km from Biswa Bangla Gate & Newtown Bus Stand, Kolkata","General practice clinic"
Multi-speciality,Heal Polyclinic & Diagnostic Centre,Kolkata (Salt Lake/Bidhannagar),——,"AD-40, AD Block, Sector 1, Bidhannagar, Kolkata 700064","Serving Salt Lake area"
Multi-speciality,Pratyasha Multispeciality OPD,Kolkata (Central),——,"25, Dr. Ashutosh Sastri Road, Kolkata 700010","Launched Aug 2025, inclusive healthcare chain, NEW"
Multi-speciality,RoMedics Superspecialty Clinic,Kolkata (Mukundapur),——,"Near EM Bypass, Mukundapur, Kolkata","Launched Mar 2026, 40+ specialists, HOT lead"
Multi-speciality,PR Diagnostics & Polyclinic,Kolkata (Dum Dum),7003731994,"1st Floor, 12/3 South, K.B. Sarani, Golpark, Dum Dum, Kolkata 700080","Founded Sep 2021, new location May 2022"
Multi-speciality,Path India Polyclinic & Diagnostic,Kolkata (New Town),——,"Community Market, Street No 85, New Town, Kolkata 700156","18 years, 30 doctors available"
Multi-speciality,Maxcare Polyclinic,Kolkata (New Town),——,"Joth Bhim Main Road, New Town, Kolkata 700156","Est. 2014, 11 years in healthcare"
Multi-speciality,AM Medical Centre,Kolkata (Multiple),——,"Kankurgachi (2020), Kasba (2022), Ballygunge (2024) branches","Re-established 2021, rapid expansion"
Multi-speciality,Suraksha Clinic & Diagnostics,Kolkata (Shyambazar & multiple),——,"Multiple locations across Kolkata","New Shyambazar centre 2025, 60+ centres nationwide"
Dental,The Dentique Advanced Dental Care,Kolkata (Middleton St),9836813681,"2nd Floor, 6/1A Middleton Street, Kolkata 700071","Est. 2019, multispeciality dental, high-end"
Dental,Orocare Multispeciality Dental Clinic,Kolkata (Behala),9874379232,Behala Kolkata,"Dental clinic, actively admitting"
Dental,Teeth Care Multispeciality Dental Clinic,Kolkata (Multiple),——,"New Town, Chinar Park, Ballygunge, Charnock branches","19+ years, 5 branches in Kolkata"
Dental,Dr Rana's Dental & Aesthetic Clinic,Kolkata (New Town),——,"New Town, Kolkata","New flagship 2000sq ft clinic launched 2026, HOT lead"
Skin,IMAGE Clinic,Kolkata (Multiple),"03340040575, 9830836666","Lansdowne, Theatre Road, Salt Lake, Gariahat branches","Advanced derm & aesthetics, multiple locations"
Skin,Wizderm Skin & Hair Clinic,Kolkata (Multiple),"9007574000, 03340032100","Shakespeare Sarani, Jodhpur Park, City Centre, Mani Square","Leading derm chain, multiple Kolkata locations"
Skin,La Derma Skin & Hair Clinic,Kolkata,——,Kolkata,"Founded 2021, newer clinic"
Skin,Reincarnation Skin Care Clinic (Dr. Priyanka Aggarwal),Kolkata (Newtown),8480856631,"ASO 114, 1st Floor, Astra Towers, Newtown, Kolkata 700135","5+ years exp, newer clinic"
